ID,the_geom,LAeq (dB)
10,"MULTILINESTRING ((-76.51376668054635 3.4895747921563904, -76.5136631405437 3.4893133857640066, -76.51365078725907 3.4892958241382956, -76.5134179188663 3.489051978289465, -76.51339068085021 3.489031253286913, -76.51313057432338 3.48880022378395, -76.51306216900646 3.488790569871614, -76.51287046627805 3.4887716621763167, -76.51261035786798 3.488788394887022, -76.51260171299995 3.488790566073873, -76.51235024886549 3.4888723585074715, -76.51209013924965 3.4890196927389825, -76.51205710408075 3.489051966927814, -76.51185198378624 3.4893133706800055, -76.51183002780529 3.489356408654786, -76.5117842943959 3.4895747756830167, -76.51179257319852 3.4898361813936707, -76.51179257077536 3.4900975870253044, -76.51183001956642 3.490249054640866, -76.51188297703195 3.4903589934974057, -76.51206690868803 3.4906204008122517, -76.5120901246908 3.4906454940720275, -76.512350231843 3.4908334732201047, -76.51243607765447 3.4908818097150602, -76.51261033979566 3.4909385540189213, -76.51287044834955 3.4909768316573815, -76.51313055735184 3.4909607451950153, -76.51324412831387 3.4908818163766204, -76.51339066802602 3.4907230175498003, -76.51352226950577 3.4906204128800433, -76.51365077881034 3.4904523230370055, -76.51371144891617 3.490359008652767, -76.51378403934771 3.490097603549375, -76.51378404122062 3.4898361979164996, -76.51376668054635 3.4895747921563904))",60
69,"MULTILINESTRING ((-76.53029748368594 3.4656802955099453, -76.53036862263636 3.465786846771645, -76.53039489571556 3.4660482522645997, -76.53029748909302 3.466209424957258, -76.53003738761758 3.466270956688117, -76.52990833154121 3.466048257210196, -76.52992053548131 3.465786851322466, -76.53003738132985 3.465638754773616, -76.53029748368594 3.4656802955099453))",70
202,"MULTILINESTRING ((-76.50090675773035 3.4269991729167972, -76.50086552542709 3.4270986242892407, -76.5009067549979 3.427133113151526, -76.50099372045463 3.42709862692722, -76.50090675773035 3.4269991729167972))",75
11,"MULTILINESTRING ((-76.52535566340856 3.4887930896124066, -76.52536790407603 3.4887905875625522, -76.52561577132987 3.4887265079075296, -76.52587587925571 3.48866726980299, -76.52613598718466 3.4886141040125564, -76.52639609511901 3.488566577111452, -76.52655468803562 3.4885291750859877, -76.52665620279916 3.4884836413464217, -76.52691631078166 3.4884525517203255, -76.5271764188501 3.4884362278417433, -76.52743652710015 3.4884461592524025, -76.52769663574036 3.488507150955874, -76.52775164284833 3.488529166670081, -76.52795674497388 3.488639811386715, -76.52806288494165 3.4887905698711825, -76.52817370362754 3.489051974616163, -76.5279577477455 3.4893133819820448, -76.52795835450395 3.4895747876127534, -76.52795905614653 3.489836193241234, -76.52795905819022 3.490097598873758, -76.52795979185183 3.4903590044990302, -76.52796047533872 3.490620410123216, -76.52796103054095 3.490881815746936, -76.52796140288079 3.491143221370622, -76.5279615689648 3.491404626994456, -76.52796153385269 3.4916660326184035, -76.52796132363179 3.491927438242253, -76.52796097688757 3.4921888438657036, -76.52796053734919 3.49245024948841, -76.52796053939484 3.492711655106146, -76.52796005011207 3.492973060726288, -76.5282168903717 3.493232056897726, -76.52821928583322 3.4932344642565787, -76.52821897290966 3.4934958698723, -76.52821866560016 3.493757275486494, -76.52821837867948 3.4940186810990435, -76.52821812142182 3.49428008670987, -76.52821789873443 3.4945414923189335, -76.5282177120429 3.4948028979262236, -76.52821771416109 3.49506430353049, -76.52821756253022 3.4953257091345304, -76.52821744356133 3.4955871147368267, -76.52821735424249 3.4958485203373995, -76.52821729116584 3.4961099259362767, -76.52821725117337 3.4963713315334837, -76.5282172312112 3.496632737129047, -76.52821722867 3.4968941427229856, -76.52821724123683 3.49715554831532, -76.52821726686781 3.4974169539060687, -76.52821726898745 3.497678359495526, -76.52821730597076 3.497939765083215, -76.5282173527754 3.498201170669347, -76.528217408144 3.4984625762539228, -76.52821693276536 3.49846305400645, -76.52795720065254 3.498723983932404, -76.5279568238758 3.4987243625903264, -76.52795644709312 3.498723983938366, -76.52769671088946 3.498462806815682, -76.52743659995171 3.498462726277998, -76.52717648901388 3.498462647241337, -76.52696785202036 3.4984625856520584, -76.52717648747942 3.4982436809886943, -76.5272136591856 3.4982011783496803, -76.52740535820946 3.497939771379063, -76.52743659575327 3.4978862538582582, -76.52754978221171 3.497678364722379, -76.5275497802769 3.497416959132528, -76.52765078543278 3.497155552780961, -76.52769669949348 3.496954915152288, -76.52770996770926 3.4968941467377164, -76.5277279837608 3.4966327410056337, -76.52770384171428 3.4963713355945987, -76.5276966948867 3.496345170405296, -76.52763750373394 3.4961099305015573, -76.52752662587417 3.4958485257349157, -76.52743657987796 3.4957056096980996, -76.52736934760615 3.4955871212923046, -76.5271764671501 3.4953414122343776, -76.52716555464654 3.4953257171510566, -76.52691960055358 3.4950643132511363, -76.52691959879459 3.494802907646142, -76.52691635343352 3.4948003573695945, -76.52665624197068 3.494562501274521, -76.52664673200672 3.4945415038536076, -76.52649571974412 3.4942800992151253, -76.5263961295229 3.4941438906650126, -76.52625769808677 3.4940186950841734, -76.52613601857146 3.4939398921696223, -76.52592117328693 3.4937572914601347, -76.52587590770182 3.4937304749159845, -76.52561579696757 3.4935248286673133, -76.52558936077574 3.493495887688037, -76.52535568637211 3.493324234089496, -76.5252732691331 3.4932344837175897, -76.52509557581527 3.4931086817361936, -76.52503809809177 3.4929730792553326, -76.52489163689518 3.4927116743263618, -76.52489163569811 3.4924502687071834, -76.52483546308115 3.49238518448041, -76.52463734211145 3.4921888642276544, -76.52457535281978 3.4921503994670045, -76.52432878083948 3.4919274598972536, -76.52431524270345 3.4919196124187315, -76.52405513283081 3.4917204339271968, -76.52400196605952 3.4916660555307333, -76.52379502308789 3.4915271546219846, -76.5236468329226 3.491404651142193, -76.52353491342987 3.4913270712281075, -76.52327480393657 3.491146050179421, -76.52327183153893 3.491143246675022, -76.52306585369315 3.4908818416196197, -76.52301469393618 3.490731045674888, -76.52290726631934 3.4906204363999467, -76.52298723108566 3.4903590305648593, -76.52301469293079 3.4903432200836173, -76.52315347169548 3.490097624486888, -76.5231534709796 3.489836218852441, -76.52327479985854 3.489723778357649, -76.52351396387034 3.4895748121504306, -76.52353490789328 3.489565083768689, -76.5237950159954 3.4894516687989636, -76.5240551239775 3.4893226390765557, -76.52407506499384 3.4893134045779948, -76.52431523198211 3.489217187812837, -76.52457533996181 3.489119547781797, -76.52476358868554 3.4890519961059376, -76.5248354478883 3.4890220265639846, -76.52509555546823 3.4888633609174318, -76.52535566340856 3.4887930896124066))",65
12,"MULTILINESTRING ((-76.5339392179513 3.487483398473849, -76.53393929532949 3.4874834762358935, -76.53393929902306 3.48774488187674, -76.53393928843535 3.4880062875163116, -76.53419933715794 3.4882675487620243, -76.53419947710721 3.4882676894053453, -76.53445944912043 3.488528859696021, -76.534459679502 3.4885290912199176, -76.53471956122638 3.4887901575494764, -76.53471989498229 3.488790492960009, -76.53471991646383 3.4890518985923413, -76.53497967745649 3.48931272370997, -76.5349802511575 3.4893133002545125, -76.53523978992135 3.4895739917148343, -76.53549989840339 3.4895738838833226, -76.53576000688504 3.4895737746605056, -76.53576092124185 3.489574693547477, -76.53602011963648 3.4898350381394123, -76.53628022818924 3.4898349295758453, -76.5362813834791 3.489836090587976, -76.5362813878223 3.490097496212794, -76.53654034556914 3.4903574970815785, -76.5368004542649 3.4903573918631294, -76.53706056296029 3.4903572876204345, -76.5373206716553 3.490357184623754, -76.5373223624539 3.490358883792325, -76.53758078505234 3.4906184599539083, -76.53784089381848 3.490618361487077, -76.53810100258427 3.4906182645565944, -76.53810300324926 3.490620275121576, -76.53810303647492 3.490881680738999, -76.53810307224909 3.4911430863548967, -76.53810311032959 3.4914044919692717, -76.53810101720279 3.491406595608619, -76.53784090821694 3.491406513669616, -76.53758276264317 3.491665907184195, -76.53758080393581 3.4916678757262662, -76.53732069487744 3.49166779364342, -76.53706242181332 3.491927322109812, -76.53706059038042 3.4919291627357993, -76.53680228245932 3.492188732269636, -76.53680048573975 3.4921905380065756, -76.53654037653669 3.4921904594142843, -76.53628188090772 3.492450146761998, -76.53628188525431 3.492711552372025, -76.53628027602494 3.492713169675088, -76.53602176492375 3.4929729623122228, -76.53602017095314 3.4929745642786307, -76.53576006153358 3.4929744932557987, -76.5355014707238 3.493234376367491, -76.53549995624587 3.493235898440361, -76.53523984675391 3.493235832962294, -76.53497973726171 3.493235769226686, -76.53472095980315 3.4934957941055487, -76.53471963168501 3.493497128881458, -76.53445952212049 3.493497074907149, -76.53419941255575 3.4934970238442986, -76.53393930299082 3.493496976092049, -76.53367919342568 3.4934969319586515, -76.53341908386034 3.4934968917525047, -76.53341801033453 3.4934958129071427, -76.53315897080928 3.4932353222562527, -76.53289886131562 3.4932352949100776, -76.53263875182178 3.493235273367953, -76.53237864232779 3.4932352581515627, -76.53211853283365 3.4932352497819963, -76.53185842333936 3.493235248840461, -76.53159831384494 3.4932352560899553, -76.53133820435065 3.493235295217105, -76.53107809485608 3.493235331976371, -76.53081798536142 3.4932353805362393, -76.53081704887501 3.4932344394038624, -76.5305578731014 3.492973942149525, -76.5302977636786 3.4929740264708617, -76.53029678142747 3.4929730393453573, -76.53029689399736 3.492711633729505, -76.53029689130568 3.4924502281133716, -76.53029703242566 3.492188822494263, -76.53029719614027 3.491927416873441, -76.5302973724588 3.4916660112510107, -76.5302975486587 3.4914046056271024, -76.53029771149046 3.4911432000018543, -76.53029774419274 3.4910814933560506, -76.53053210038954 3.4911431975364002, -76.53055785381532 3.491149573008861, -76.53081796320014 3.4911922912317226, -76.53107807241501 3.4912176295137076, -76.53133818143426 3.491224595893993, -76.53159828986577 3.4911808841004643, -76.53179168452989 3.4911431832827606, -76.53185839815987 3.491127698220721, -76.53211850609156 3.4910472653315896, -76.53237861371557 3.4909457622458637, -76.53251565533817 3.4908817687005076, -76.53263872090227 3.4908143967295353, -76.53289882759918 3.4906510299867466, -76.53294202813558 3.4906203575385537, -76.53315893357187 3.4904400360707792, -76.53320080837754 3.490358948457703, -76.53331459122249 3.4900975412891, -76.53331458769905 3.4898361356609, -76.53340956008893 3.4895747287339436, -76.53341903009681 3.489542334102528, -76.53353495971969 3.4893133213753864, -76.53363572311818 3.4890519143428014, -76.53367912951367 3.4888886967097994, -76.53370293573434 3.488790507769085, -76.53373805040492 3.488529101640932, -76.53374536995847 3.4882676959013477, -76.5337254506484 3.488006290543088, -76.53367911581451 3.4879001520118327, -76.53362151189536 3.4877448863569223, -76.53362150828954 3.487483480715739, -76.53360042769916 3.487222075366373, -76.53367910641974 3.487222052607357, -76.5339392179513 3.487483398473849))",65
13,"MULTILINESTRING ((-76.53367910641974 3.487222052607357, -76.53367912797425 3.4872220742688187))",65
14,"MULTILINESTRING ((-76.52434440543418 3.4880063753220822, -76.52431522670327 3.4878858223899094, -76.52426353514885 3.487744969998835, -76.52426353412692 3.487483564351368, -76.5240551163292 3.487249863034827, -76.52401809126653 3.4872221596390367, -76.52379500803305 3.487120143864406, -76.52353490001228 3.4870554619807708, -76.52327479216459 3.487038815178066, -76.52301468459916 3.4871276520477346, -76.5227545769781 3.487213556797556, -76.52273735503958 3.4872221634841085, -76.52249446948099 3.4873833572942714, -76.52236647232266 3.4874835699203235, -76.52236647282076 3.487744975568209, -76.5222343624866 3.4878906613693763, -76.52216222960351 3.4880063815853806, -76.52208368929058 3.4882677873610786, -76.52208790090265 3.488529192997727, -76.52216014738886 3.4887905985193757, -76.52223436434437 3.4889424166233285, -76.52232722552623 3.4890520038601984, -76.52249447314729 3.489179600776475, -76.52275458177454 3.489284672158052, -76.52301469024715 3.4893078026229056, -76.5232747982476 3.489161780807004, -76.52353490634788 3.4890731081356305, -76.52358620756081 3.4890520006440084, -76.52379501407574 3.48888969789771, -76.52394981155201 3.4887905937602266, -76.52405512155917 3.488667378870895, -76.52417970287648 3.4885291872596342, -76.52431522823517 3.488272231805866, -76.52431761751455 3.488267781074262, -76.52434440543418 3.4880063753220822))",55
15,"MULTILINESTRING ((-76.49518315323013 3.4869575908890234, -76.49518926055849 3.486960417096646, -76.49534786774358 3.487221827000311, -76.49518314307312 3.48733652635772, -76.49492303345568 3.4874017271529016, -76.4947951895501 3.487221811976134, -76.49484321058407 3.4869604076698133, -76.49492304709193 3.4868981492793036, -76.49518315323013 3.4869575908890234))",75
16,"MULTILINESTRING ((-76.51817144278135 3.486960757306998, -76.51812768777795 3.487222162845148, -76.51808066699662 3.487483568371125, -76.51808066631135 3.487744974018892, -76.51807263435089 3.487761439987518, -76.51781252600952 3.4878810191246252, -76.51755241781022 3.4879352638440557, -76.51729230993259 3.48788778423433, -76.51710422199334 3.4877449709256862, -76.51710422294822 3.48748356527815, -76.51704563500313 3.48722215941123, -76.51718523596219 3.486960754273896, -76.51729231350826 3.4868525554919416, -76.5174612331471 3.486699349575179, -76.51755242188753 3.486652766852371, -76.51781252983811 3.4865628179435633, -76.51807263756659 3.4865385699494267, -76.51816970233061 3.4866993516503406, -76.51817144278135 3.486960757306998))",70
17,"MULTILINESTRING ((-76.52274334827841 3.4866993521671503, -76.5224944683972 3.48685218628058, -76.52233894731734 3.4869607586726667, -76.52223436097918 3.487037026761156, -76.5220027318046 3.48722216490018, -76.52197425350253 3.4872506639674192, -76.52176325407027 3.487483570886849, -76.5217632544018 3.487744976534808, -76.5217141463654 3.487839871041999, -76.52166722263894 3.488006382299367, -76.52165021658242 3.488267787964266, -76.52166619453293 3.4885291935891254, -76.521704710366 3.488790599185036, -76.52171414758003 3.4888381588946418, -76.52178249416484 3.489052004727589, -76.5218909349781 3.4893134102192356, -76.5219742567904 3.4894550232481407, -76.52209385462245 3.489574815547202, -76.52223436564617 3.4896792223715125, -76.52249447429753 3.4897429531844284, -76.5227545828059 3.4897298638815437, -76.52301469119219 3.4896724547273648, -76.52312159507441 3.4895748133041056, -76.52327479913849 3.4894725907270505, -76.52353490726438 3.4893648844065175, -76.5236428528258 3.4893134060983177, -76.523795015228 3.489227024151098, -76.52405512315954 3.4891010200218364, -76.52415937012236 3.4890519986195803, -76.52431523090333 3.4889451469447628, -76.52457533861016 3.4888007821971465, -76.52459623449249 3.4887905912011807, -76.5248354460265 3.488609664958669, -76.52490715527675 3.488529184170172, -76.52504519041915 3.488267777877432, -76.5250955518907 3.4881163895234804, -76.52518919568183 3.4880063715335425, -76.52530389060674 3.487744965314848, -76.52530388929756 3.487483559667732, -76.52533756889378 3.487222153848234, -76.52528963962365 3.4869607484409975, -76.52514174006913 3.486699343523252, -76.52509554486944 3.4866499098661423, -76.52496224325485 3.4864379387293534, -76.52483543566622 3.4863141203504937, -76.52457532776026 3.4862409722297825, -76.52431522004395 3.4862055627210595, -76.5240551124617 3.4862012554729986, -76.52379500497412 3.486224019829588, -76.52353489755136 3.4862714297540545, -76.52327479017015 3.4863424767043476, -76.5231733304029 3.4864379454150627, -76.52301468311562 3.486554767814981, -76.52275457577008 3.48669173461178, -76.52274334827841 3.4866993521671503))",60
